Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
  0.60      2.12     0.04  3429962     0.00     0.00  std::vector<Math::Matrix, std::allocator<Math::Matrix> >::size() const
  0.53      2.17     0.04 11506648     0.00     0.00  std::__uniq_ptr_impl<std::__future_base::_Result<void>, std::__future_base::_Result_base::_Deleter>::_M_ptr()
  0.53      2.21     0.04  8242539     0.00     0.00  std::_Function_base::_M_empty() const
  0.53      2.25     0.04  7091476     0.00     0.00  double* std::__copy_move<false, true, std::random_access_iterator_tag>::__copy_m<double>(double const*, double const*, double*)
  0.53      2.29     0.04  6189801     0.00     0.00  __gnu_cxx::new_allocator<double>::allocate(unsigned long, void const*)
  0.53      2.33     0.04  5551531     0.00     0.00  std::vector<double, std::allocator<double> >::vector()
  0.53      2.37     0.04  3375200     0.00     0.00  std::__shared_ptr<std::__future_base::_Task_state_base<void ()>, (__gnu_cxx::_Lock_policy)2>::operator bool() const
  0.53      2.40     0.04  3348331     0.00     0.00  std::__allocated_ptr<std::allocator<std::_Sp_counted_ptr_inplace<std::packaged_task<void ()>, std::allocator<std::packaged_task<void ()> >, (__gnu_cxx::_Lock_policy)2> > >::~__allocated_ptr()
  0.53      2.44     0.04  1716866     0.00     0.00  void std::call_once<void (std::__future_base::_State_baseV2::*)(std::function<std::unique_ptr<std::__future_base::_Result_base, std::__future_base::_Result_base::_Deleter> ()>*, bool*), std::__future_base::_State_baseV2*, std::function<std::unique_ptr<std::__future_base::_Result_base, std::__future_base::_Result_base::_Deleter> ()>*, bool*>(std::once_flag&, void (std::__future_base::_State_baseV2::*&&)(std::function<std::unique_ptr<std::__future_base::_Result_base, std::__future_base::_Result_base::_Deleter> ()>*, bool*), std::__future_base::_State_baseV2*&&, std::function<std::unique_ptr<std::__future_base::_Result_base, std::__future_base::_Result_base::_Deleter> ()>*&&, bool*&&)
  0.53      2.48     0.04  1706161     0.00     0.00  std::allocator<int>::allocator()
  0.53      2.52     0.04  1645149     0.00     0.00  std::__shared_count<(__gnu_cxx::_Lock_policy)2>::_M_unique() const
  0.53      2.56     0.04  1175071     0.00     0.00  std::__future_base::_Task_state<Math::Matrix::threadPoolProcess(std::function<void (int, int)>, int)::{lambda()#1}, std::allocator<int>, void ()>::_M_run()
  0.53      2.60     0.04  1158811     0.00     0.00  std::shared_ptr<std::packaged_task<void ()> > std::allocate_shared<std::packaged_task<void ()>, std::allocator<std::packaged_task<void ()> >, Math::Matrix::threadPoolProcess(std::function<void (int, int)>, int)::{lambda()#1}>(std::allocator<std::packaged_task<void ()> > const&, Math::Matrix::threadPoolProcess(std::function<void (int, int)>, int)::{lambda()#1}&&)
  0.53      2.65     0.04   549493     0.00     0.00  std::_Function_handler<void (), Math::ThreadPool::enqueue<Math::Matrix::threadPoolProcess(std::function<void (int, int)>, int)::{lambda()#2}>(Math::Matrix::threadPoolProcess(std::function<void (int, int)>, int)::{lambda()#2})::{lambda()#1}>::_M_invoke(std::_Any_data const&)
  0.53      2.69     0.04   382030     0.00     0.00  Math::Matrix::iProd(Math::Matrix, Math::Matrix const&)::{lambda(int, int)#1}::operator()(int, int) const
  0.46      2.72     0.04 12378430     0.00     0.00  void std::_Destroy<double*, double>(double*, double*, std::allocator<double>&)
  0.46      2.75     0.04 10436871     0.00     0.00  Math::Matrix::threadPoolProcess(std::function<void (int, int)>, int)::{lambda()#2}&& std::forward<Math::Matrix::threadPoolProcess(std::function<void (int, int)>, int)::{lambda()#2}>(std::remove_reference<Math::Matrix::threadPoolProcess(std::function<void (int, int)>, int)::{lambda()#2}>::type&)
  0.46      2.79     0.04  9297560     0.00     0.00  std::allocator<double>::~allocator()
  0.46      2.83     0.04  9009094     0.00     0.00  Math::Matrix::operator[](int) const
  0.46      2.86     0.04  7165318     0.00     0.00  std::_Vector_base<double, std::allocator<double> >::~_Vector_base()
  0.46      2.90     0.04  7092191     0.00     0.00  double* std::__copy_move_a1<false, double const*, double*>(double const*, double const*, double*)
  0.46      2.93     0.04  6755659     0.00     0.00  std::allocator<std::packaged_task<void ()> >::~allocator()
  0.46      2.96     0.04  5633450     0.00     0.00  double* std::__copy_move_a<false, __gnu_cxx::__normal_iterator<double const*, std::vector<double, std::allocator<double> > >, double*>(__gnu_cxx::__normal_iterator<double const*, std::vector<double, std::allocator<double> > >, __gnu_cxx::__normal_iterator<double const*, std::vector<double, std::allocator<double> > >, double*)
  0.46      3.00     0.04  1724751     0.00     0.00  std::function<void ()>::operator()() const
  0.46      3.04     0.04  1535987     0.00     0.00  void std::condition_variable::wait<Math::ThreadPool::start(unsigned long)::{lambda()#1}::operator()() const::{lambda()#1}>(std::unique_lock<std::mutex>&, Math::ThreadPool::start(unsigned long)::{lambda()#1}::operator()() const::{lambda()#1})
  0.40      3.06     0.03 12773250     0.00     0.00  __gthread_active_p()
  0.40      3.10     0.03  9549935     0.00     0.00  std::vector<double, std::allocator<double> >::size() const
  0.40      3.12     0.03  9015715     0.00     0.00  std::vector<double, std::allocator<double> >::operator[](unsigned long) const
  0.40      3.15     0.03  8398530     0.00     0.00  std::allocator<int>::~allocator()
  0.40      3.19     0.03  7366779     0.00     0.00  std::__uniq_ptr_impl<std::__future_base::_Result_base, std::__future_base::_Result_base::_Deleter>::_M_ptr()
  0.40      3.21     0.03  7151775     0.00     0.00  std::vector<double, std::allocator<double> >::~vector()
  0.40      3.25     0.03  7063746     0.00     0.00  std::vector<double, std::allocator<double> >::end() const
  0.40      3.27     0.03  6186170     0.00     0.00  std::_Vector_base<double, std::allocator<double> >::_M_allocate(unsigned long)
  0.40      3.31     0.03  5603723     0.00     0.00  std::unique_lock<std::mutex>::unlock()
  0.40      3.33     0.03  3992437     0.00     0.00  std::unique_ptr<std::__future_base::_Result_base, std::__future_base::_Result_base::_Deleter>::~unique_ptr()
  0.40      3.37     0.03  3320731     0.00     0.00  std::unique_ptr<std::__future_base::_Result<void>, std::__future_base::_Result_base::_Deleter>::~unique_ptr()
  0.40      3.40     0.03  2911210     0.00     0.00  Math::ThreadPool::start(unsigned long)::{lambda()#1}::operator()() const::{lambda()#1}::operator()() const
  0.40      3.42     0.03  2386598     0.00     0.00  std::__uniq_ptr_impl<std::__future_base::_Result<void>, std::__future_base::_Result_base::_Deleter>::_M_deleter()
  0.40      3.46     0.03  1708371     0.00     0.00  std::allocator_traits<std::allocator<std::_Sp_counted_ptr_inplace<std::packaged_task<void ()>, std::allocator<std::packaged_task<void ()> >, (__gnu_cxx::_Lock_policy)2> > >::allocate(std::allocator<std::_Sp_counted_ptr_inplace<std::packaged_task<void ()>, std::allocator<std::packaged_task<void ()> >, (__gnu_cxx::_Lock_policy)2> >&, unsigned long)
  0.40      3.48     0.03  1701323     0.00     0.00  std::once_flag::once_flag()
  0.40      3.52     0.03  1695640     0.00     0.00  std::unique_ptr<std::__future_base::_Result<void>, std::__future_base::_Result_base::_Deleter>::unique_ptr<std::__future_base::_Result_base::_Deleter, void>(std::__future_base::_Result<void>*)
  0.40      3.54     0.03  1668431     0.00     0.00  std::once_flag::_Prepare_execution::~_Prepare_execution()
  0.40      3.58     0.03  1638007     0.00     0.00  std::__future_base::_Result<void>::_M_destroy()
  0.40      3.60     0.03  1618001     0.00     0.00  std::_Sp_counted_ptr_inplace<std::packaged_task<void ()>, std::allocator<std::packaged_task<void ()> >, (__gnu_cxx::_Lock_policy)2>::_M_dispose()
  0.40      3.63     0.03  1600709     0.00     0.00  std::__shared_ptr<std::__future_base::_State_baseV2, (__gnu_cxx::_Lock_policy)2>::get() const
  0.40      3.67     0.03  1177044     0.00     0.00  std::_Function_handler<void (), Math::ThreadPool::enqueue<Math::Matrix::threadPoolProcess(std::function<void (int, int)>, int)::{lambda()#1}>(Math::Matrix::threadPoolProcess(std::function<void (int, int)>, int)::{lambda()#1})::{lambda()#1}>::_M_invoke(std::_Any_data const&)
  0.40      3.69     0.03  1175384     0.00     0.00  std::_Function_base::_Base_manager<Math::ThreadPool::enqueue<Math::Matrix::threadPoolProcess(std::function<void (int, int)>, int)::{lambda()#1}>(Math::Matrix::threadPoolProcess(std::function<void (int, int)>, int)::{lambda()#1})::{lambda()#1}>::_M_get_pointer(std::_Any_data const&)
  0.40      3.73     0.03  1170609     0.00     0.00  void std::_Function_base::_Base_manager<Math::ThreadPool::enqueue<Math::Matrix::threadPoolProcess(std::function<void (int, int)>, int)::{lambda()#1}>(Math::Matrix::threadPoolProcess(std::function<void (int, int)>, int)::{lambda()#1})::{lambda()#1}>::_M_init_functor<Math::ThreadPool::enqueue<Math::Matrix::threadPoolProcess(std::function<void (int, int)>, int)::{lambda()#1}>(Math::Matrix::threadPoolProcess(std::function<void (int, int)>, int)::{lambda()#1})::{lambda()#1}>(std::_Any_data&, Math::ThreadPool::enqueue<Math::Matrix::threadPoolProcess(std::function<void (int, int)>, int)::{lambda()#1}>(Math::Matrix::threadPoolProcess(std::function<void (int, int)>, int)::{lambda()#1})::{lambda()#1}&&)
  0.40      3.75     0.03  1161866     0.00     0.00  std::function<void ()>& std::deque<std::function<void ()>, std::allocator<std::function<void ()> > >::emplace_back<Math::ThreadPool::enqueue<Math::Matrix::threadPoolProcess(std::function<void (int, int)>, int)::{lambda()#1}>(Math::Matrix::threadPoolProcess(std::function<void (int, int)>, int)::{lambda()#1})::{lambda()#1}>(Math::ThreadPool::enqueue<Math::Matrix::threadPoolProcess(std::function<void (int, int)>, int)::{lambda()#1}>(Math::Matrix::threadPoolProcess(std::function<void (int, int)>, int)::{lambda()#1})::{lambda()#1}&&)
  0.40      3.79     0.03  1157883     0.00     0.00  std::packaged_task<void ()>::packaged_task<Math::Matrix::threadPoolProcess(std::function<void (int, int)>, int)::{lambda()#1}, void>(Math::Matrix::threadPoolProcess(std::function<void (int, int)>, int)::{lambda()#1}&&)
  0.40      3.81     0.03  1154738     0.00     0.00  decltype (::new ((void*)(0)) std::packaged_task<void ()>((declval<Math::Matrix::threadPoolProcess(std::function<void (int, int)>, int)::{lambda()#1}>)())) std::construct_at<std::packaged_task<void ()>, Math::Matrix::threadPoolProcess(std::function<void (int, int)>, int)::{lambda()#1}>(std::packaged_task<void ()>*, Math::Matrix::threadPoolProcess(std::function<void (int, int)>, int)::{lambda()#1}&&)
  0.40      3.85     0.03  1126787     0.00     0.00  std::_Sp_counted_ptr_inplace<std::__future_base::_Task_state<Math::Matrix::threadPoolProcess(std::function<void (int, int)>, int)::{lambda()#1}, std::allocator<int>, void ()>, std::allocator<int>, (__gnu_cxx::_Lock_policy)2>::_M_dispose()
  0.40      3.88     0.03    99887     0.00     0.00  FFNN::backPropagate(Math::Matrix const&, Math::Matrix const&)
  0.33      3.90     0.03 11511086     0.00     0.00  std::tuple_element<0ul, std::tuple<std::__future_base::_Result<void>*, std::__future_base::_Result_base::_Deleter> >::type& std::get<0ul, std::__future_base::_Result<void>*, std::__future_base::_Result_base::_Deleter>(std::tuple<std::__future_base::_Result<void>*, std::__future_base::_Result_base::_Deleter>&)
  0.33      3.92     0.03  6195440     0.00     0.00  std::allocator_traits<std::allocator<double> >::deallocate(std::allocator<double>&, double*, unsigned long)
  0.33      3.95     0.03  5604932     0.00     0.00  __gthread_mutex_unlock(pthread_mutex_t*)
  0.33      3.98     0.03  5034204     0.00     0.00  std::_Sp_counted_ptr_inplace<std::packaged_task<void ()>, std::allocator<std::packaged_task<void ()> >, (__gnu_cxx::_Lock_policy)2>::_M_ptr()
  0.33      4.00     0.03  3407164     0.00     0.00  std::_Tuple_impl<1ul, std::__future_base::_Result_base::_Deleter>::_Tuple_impl()
  0.33      4.03     0.03  2026739     0.00     0.00  Math::Matrix::operator=(Math::Matrix const&)
  0.33      4.05     0.03  1698718     0.00     0.00  std::shared_ptr<std::packaged_task<void ()> >::shared_ptr(std::shared_ptr<std::packaged_task<void ()> >&&)
  0.33      4.08     0.03  1166786     0.00     0.00  std::enable_if<is_invocable_r_v<std::unique_ptr<std::__future_base::_Result_base, std::__future_base::_Result_base::_Deleter>, std::__future_base::_Task_setter<std::unique_ptr<std::__future_base::_Result<void>, std::__future_base::_Result_base::_Deleter>, std::__future_base::_Task_state<Math::Matrix::threadPoolProcess(std::function<void (int, int)>, int)::{lambda()#1}, std::allocator<int>, void ()>::_M_run()::{lambda()#1}, void>&>, std::unique_ptr<std::__future_base::_Result_base, std::__future_base::_Result_base::_Deleter> >::type std::__invoke_r<std::unique_ptr<std::__future_base::_Result_base, std::__future_base::_Result_base::_Deleter>, std::__future_base::_Task_setter<std::unique_ptr<std::__future_base::_Result<void>, std::__future_base::_Result_base::_Deleter>, std::__future_base::_Task_state<Math::Matrix::threadPoolProcess(std::function<void (int, int)>, int)::{lambda()#1}, std::allocator<int>, void ()>::_M_run()::{lambda()#1}, void>&>(std::__future_base::_Task_setter<std::unique_ptr<std::__future_base::_Result<void>, std::__future_base::_Result_base::_Deleter>, std::__future_base::_Task_state<Math::Matrix::threadPoolProcess(std::function<void (int, int)>, int)::{lambda()#1}, std::allocator<int>, void ()>::_M_run()::{lambda()#1}, void>&)
  0.33      4.10     0.03   577554     0.00     0.00  Math::Matrix::oProd(Math::Matrix const&, Math::Matrix const&)::{lambda(int, int)#1}::operator()(int, int) const
  0.26      4.12     0.02 14295698     0.00     0.00  std::__future_base::_Result_base::_Deleter&& std::forward<std::__future_base::_Result_base::_Deleter>(std::remove_reference<std::__future_base::_Result_base::_Deleter>::type&)
  0.26      4.14     0.02 14128896     0.00     0.00  __gnu_cxx::__normal_iterator<double const*, std::vector<double, std::allocator<double> > >::__normal_iterator(double const* const&)
  0.26      4.16     0.02 12385191     0.00     0.00  std::_Vector_base<double, std::allocator<double> >::_M_deallocate(double*, unsigned long)
  0.26      4.18     0.02  7687065     0.00     0.00  std::_Function_base::~_Function_base()
  0.26      4.20     0.02  7385433     0.00     0.00  std::__future_base::_Result_base::_Deleter& std::__get_helper<1ul, std::__future_base::_Result_base::_Deleter>(std::_Tuple_impl<1ul, std::__future_base::_Result_base::_Deleter>&)
  0.26      4.22     0.02  6521323     0.00     0.00  std::_Any_data::_M_access() const
  0.26      4.24     0.02  6133985     0.00     0.00  __gnu_cxx::new_allocator<double>::new_allocator()
  0.26      4.26     0.02  5151404     0.00     0.00  std::__future_base::_State_baseV2*&& std::forward<std::__future_base::_State_baseV2*>(std::remove_reference<std::__future_base::_State_baseV2*>::type&)
  0.26      4.28     0.02  4855539     0.00     0.00  std::shared_ptr<std::packaged_task<void ()> >::~shared_ptr()
  0.26      4.30     0.02  3599661     0.00     0.00  std::_Vector_base<double, std::allocator<double> >::_Vector_impl_data::_M_copy_data(std::_Vector_base<double, std::allocator<double> >::_Vector_impl_data const&)
  0.26      4.32     0.02  3261261     0.00     0.00  std::_Sp_counted_ptr_inplace<std::packaged_task<void ()>, std::allocator<std::packaged_task<void ()> >, (__gnu_cxx::_Lock_policy)2>::_Impl::_M_alloc()
  0.26      4.34     0.02  3171298     0.00     0.00  std::allocator<double>::allocator(std::allocator<double> const&)
  0.26      4.36     0.02  2881368     0.00     0.00  double* std::__niter_base<double*, std::vector<double, std::allocator<double> > >(__gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > >)
  0.26      4.38     0.02  2864677     0.00     0.00  std::queue<std::function<void ()>, std::deque<std::function<void ()>, std::allocator<std::function<void ()> > > >::empty() const
  0.26      4.40     0.02  2844969     0.00     0.00  std::deque<std::function<void ()>, std::allocator<std::function<void ()> > >::empty() const
  0.26      4.42     0.02  2385212     0.00     0.00  std::unique_ptr<std::__future_base::_Result_base, std::__future_base::_Result_base::_Deleter>::unique_ptr<std::__future_base::_Result<void>, std::__future_base::_Result_base::_Deleter, void>(std::unique_ptr<std::__future_base::_Result<void>, std::__future_base::_Result_base::_Deleter>&&)
  0.26      4.44     0.02  2293341     0.00     0.00  std::__allocated_ptr<std::allocator<std::_Sp_counted_ptr_inplace<std::__future_base::_Task_state<Math::Matrix::threadPoolProcess(std::function<void (int, int)>, int)::{lambda()#1}, std::allocator<int>, void ()>, std::allocator<int>, (__gnu_cxx::_Lock_policy)2> > >::__allocated_ptr(std::allocator<std::_Sp_counted_ptr_inplace<std::__future_base::_Task_state<Math::Matrix::threadPoolProcess(std::function<void (int, int)>, int)::{lambda()#1}, std::allocator<int>, void ()>, std::allocator<int>, (__gnu_cxx::_Lock_policy)2> >&, std::_Sp_counted_ptr_inplace<std::__future_base::_Task_state<Math::Matrix::threadPoolProcess(std::function<void (int, int)>, int)::{lambda()#1}, std::allocator<int>, void ()>, std::allocator<int>, (__gnu_cxx::_Lock_policy)2>*)
  0.26      4.46     0.02  1727985     0.00     0.00  std::function<void ()>::operator=(std::function<void ()>&&)
  0.26      4.48     0.02  1718734     0.00     0.00  std::__future_base::_State_baseV2::_M_do_set(std::function<std::unique_ptr<std::__future_base::_Result_base, std::__future_base::_Result_base::_Deleter> ()>*, bool*)
  0.26      4.50     0.02  1718563     0.00     0.00  __gthread_once(int*, void (*)())
  0.26      4.52     0.02  1711317     0.00     0.00  std::call_once<void (std::__future_base::_State_baseV2::*)(std::function<std::unique_ptr<std::__future_base::_Result_base, std::__future_base::_Result_base::_Deleter> ()>*, bool*), std::__future_base::_State_baseV2*, std::function<std::unique_ptr<std::__future_base::_Result_base, std::__future_base::_Result_base::_Deleter> ()>*, bool*>(std::once_flag&, void (std::__future_base::_State_baseV2::*&&)(std::function<std::unique_ptr<std::__future_base::_Result_base, std::__future_base::_Result_base::_Deleter> ()>*, bool*), std::__future_base::_State_baseV2*&&, std::function<std::unique_ptr<std::__future_base::_Result_base, std::__future_base::_Result_base::_Deleter> ()>*&&, bool*&&)::{lambda()#1}::operator()() const
  0.26      4.54     0.02  1708714     0.00     0.00  __gnu_cxx::new_allocator<std::packaged_task<void ()> >::new_allocator()
  0.26      4.56     0.02  1705686     0.00     0.00  __gnu_cxx::new_allocator<std::_Sp_counted_ptr_inplace<std::packaged_task<void ()>, std::allocator<std::packaged_task<void ()> >, (__gnu_cxx::_Lock_policy)2> >::allocate(unsigned long, void const*)
  0.26      4.58     0.02  1702583     0.00     0.00  std::deque<std::function<void ()>, std::allocator<std::function<void ()> > >::end()
  0.26      4.60     0.02  1702561     0.00     0.00  std::deque<std::function<void ()>, std::allocator<std::function<void ()> > >::back()
  0.26      4.62     0.02  1701220     0.00     0.00  std::__future_base::_State_baseV2::_State_baseV2()
  0.26      4.64     0.02  1700342     0.00     0.00  std::atomic<unsigned int>::atomic(unsigned int)
  0.26      4.66     0.02  1700331     0.00     0.00  std::__future_base::_Task_state_base<void ()>::_Task_state_base<std::allocator<int> >(std::allocator<int> const&)
  0.26      4.68     0.02  1697188     0.00     0.00  std::remove_reference<std::tuple<std::__future_base::_Result<void>*, std::__future_base::_Result_base::_Deleter>&>::type&& std::move<std::tuple<std::__future_base::_Result<void>*, std::__future_base::_Result_base::_Deleter>&>(std::tuple<std::__future_base::_Result<void>*, std::__future_base::_Result_base::_Deleter>&)
  0.26      4.70     0.02  1681583     0.00     0.00  std::__uniq_ptr_impl<std::__future_base::_Result_base, std::__future_base::_Result_base::_Deleter>::swap(std::__uniq_ptr_impl<std::__future_base::_Result_base, std::__future_base::_Result_base::_Deleter>&)
  0.26      4.72     0.02  1639363     0.00     0.00  std::function<std::unique_ptr<std::__future_base::_Result_base, std::__future_base::_Result_base::_Deleter> ()>::~function()
  0.26      4.74     0.02  1635174     0.00     0.00  std::_Sp_counted_ptr_inplace<std::packaged_task<void ()>, std::allocator<std::packaged_task<void ()> >, (__gnu_cxx::_Lock_policy)2>::~_Sp_counted_ptr_inplace()
  0.26      4.76     0.02  1588993     0.00     0.00  std::__basic_future<void>::~__basic_future()
  0.26      4.78     0.02  1584486     0.00     0.00  std::packaged_task<void ()>::get_future()
  0.26      4.80     0.02  1577806     0.00     0.00  std::function<void ()>::function()
  0.26      4.82     0.02  1174419     0.00     0.00  Math::ThreadPool::enqueue<Math::Matrix::threadPoolProcess(std::function<void (int, int)>, int)::{lambda()#1}>(Math::Matrix::threadPoolProcess(std::function<void (int, int)>, int)::{lambda()#1})::{lambda()#1}::operator()() const
  0.26      4.84     0.02  1166184     0.00     0.00  std::remove_reference<std::shared_ptr<std::__future_base::_Task_state<Math::Matrix::threadPoolProcess(std::function<void (int, int)>, int)::{lambda()#1}, std::allocator<int>, void ()> >&>::type&& std::move<std::shared_ptr<std::__future_base::_Task_state<Math::Matrix::threadPoolProcess(std::function<void (int, int)>, int)::{lambda()#1}, std::allocator<int>, void ()> >&>(std::shared_ptr<std::__future_base::_Task_state<Math::Matrix::threadPoolProcess(std::function<void (int, int)>, int)::{lambda()#1}, std::allocator<int>, void ()> >&)
  0.26      4.86     0.02  1163862     0.00     0.00  decltype (::new ((void*)(0)) std::function<void ()>((declval<Math::ThreadPool::enqueue<Math::Matrix::threadPoolProcess(std::function<void (int, int)>, int)::{lambda()#1}>(Math::Matrix::threadPoolProcess(std::function<void (int, int)>, int)::{lambda()#1})::{lambda()#1}>)())) std::construct_at<std::function<void ()>, Math::ThreadPool::enqueue<Math::Matrix::threadPoolProcess(std::function<void (int, int)>, int)::{lambda()#1}>(Math::Matrix::threadPoolProcess(std::function<void (int, int)>, int)::{lambda()#1})::{lambda()#1}>(std::function<void ()>*, Math::ThreadPool::enqueue<Math::Matrix::threadPoolProcess(std::function<void (int, int)>, int)::{lambda()#1}>(Math::Matrix::threadPoolProcess(std::function<void (int, int)>, int)::{lambda()#1})::{lambda()#1}&&)
  0.26      4.88     0.02  1152134     0.00     0.00  std::__shared_count<(__gnu_cxx::_Lock_policy)2>::__shared_count<std::__future_base::_Task_state<Math::Matrix::threadPoolProcess(std::function<void (int, int)>, int)::{lambda()#1}, std::allocator<int>, void ()>, std::allocator<int>, Math::Matrix::threadPoolProcess(std::function<void (int, int)>, int)::{lambda()#1}, std::allocator<int> const&>(std::__future_base::_Task_state<Math::Matrix::threadPoolProcess(std::function<void (int, int)>, int)::{lambda()#1}, std::allocator<int>, void ()>*&, std::_Sp_alloc_shared_tag<std::allocator<int> >, Math::Matrix::threadPoolProcess(std::function<void (int, int)>, int)::{lambda()#1}&&, std::allocator<int> const&)
  0.26      4.90     0.02  1140659     0.00     0.00  std::_Sp_counted_ptr_inplace<std::__future_base::_Task_state<Math::Matrix::threadPoolProcess(std::function<void (int, int)>, int)::{lambda()#1}, std::allocator<int>, void ()>, std::allocator<int>, (__gnu_cxx::_Lock_policy)2>::_M_destroy()
  0.26      4.92     0.02  1139744     0.00     0.00  std::_Function_base::_Base_manager<std::__future_base::_Task_setter<std::unique_ptr<std::__future_base::_Result<void>, std::__future_base::_Result_base::_Deleter>, std::__future_base::_Task_state<Math::Matrix::threadPoolProcess(std::function<void (int, int)>, int)::{lambda()#1}, std::allocator<int>, void ()>::_M_run()::{lambda()#1}, void> >::_M_manager(std::_Any_data&, std::_Any_data const&, std::_Manager_operation)
  0.26      4.94     0.02  1138357     0.00     0.00  std::_Function_base::_Base_manager<Math::ThreadPool::enqueue<Math::Matrix::threadPoolProcess(std::function<void (int, int)>, int)::{lambda()#1}>(Math::Matrix::threadPoolProcess(std::function<void (int, int)>, int)::{lambda()#1})::{lambda()#1}>::_M_manager(std::_Any_data&, std::_Any_data const&, std::_Manager_operation)
